Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.524390243902439,0.4146341463414634,0.53125,0.4657534246575342,0.5474316406249999
Random Forest,0.649390243902439,0.5691489361702128,0.41796875,0.481981981981982,0.659677734375
XGBoost,0.6570121951219512,0.6099290780141844,0.3359375,0.4332493702770781,0.65208984375
Tuned Random Forest,0.6570121951219512,0.581151832460733,0.43359375,0.4966442953020134,0.6611914062500001
Tuned XGBoost,0.6387195121951219,0.5508021390374331,0.40234375,0.4650112866817156,0.6260937499999999
